Record_number,Entry_date,Study_number,Author,Duplicate_record,Quality_flag,Contributor,Country,Region,Site_name,Site_ID,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Age_ecosystem,Age_disturbance,Species,Biome,Ecosystem_type,Ecosystem_state,Leaf_habit,Stage,Soil_type,Soil_drainage,Soil_BD,Soil_CN,Soil_sand,Soil_silt,Soil_clay,MAT,MAP,PET,Study_temp,Study_precip,Meas_method,Collar_height,Collar_depth,Chamber_area,Time_of_day,Meas_interval,Annual_coverage,Partition_method,Rs_annual,Rs_annual_err,Rs_interann_err,Rlitter_annual,Ra_annual,Rh_annual,RC_annual,Rs_spring,Rs_summer,Rs_autumn,Rs_winter,Rs_growingseason,Rs_wet,Rs_dry,RC_seasonal,RC_season,GPP,ER,NEP,NPP,ANPP,BNPP,NPP_FR,TBCA,Litter_flux,Rootlitter_flux,TotDet_flux,Ndep,LAI,BA,C_veg_total,C_AG,C_BG,C_CR,C_FR,C_litter,C_soilmineral,C_soildepth,Notes
4689,2012-05-09,6064,Chae,,,BBL,South Korea,,,KR-WCP,2002,1,37.75704722,127.1532278,,None,,,140,Quercus serrata; Carpinus laxiflora,Temperate,Forest,Natural,Deciduous,Mature,Sandy loam (Alfisol),Dry,0.86,,46,8,46,11.5,1436,,11,,IRGA,8,,88.2,,14,1,,914,,41,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,11250,,,,,,,
4690,2012-05-09,6064,Chae,,,BBL,South Korea,,,KR-WCP,2003,1,37.75704722,127.1532278,,None,,,140,Quercus serrata; Carpinus laxiflora,Temperate,Forest,Natural,Deciduous,Mature,Sandy loam (Alfisol),Dry,0.86,,46,8,46,11.5,1436,,11,,IRGA,8,,88.2,,14,1,,856,,163,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,11250,,,,,,,
4691,2012-05-09,6064,Chae,,,BBL,South Korea,,,KR-WCP,2004,1,37.75704722,127.1532278,,None,,,140,Quercus serrata; Carpinus laxiflora,Temperate,Forest,Natural,Deciduous,Mature,Sandy loam (Alfisol),Dry,0.86,,46,8,46,11.5,1436,,11,,IRGA,8,,88.2,,14,1,,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,11250,,,,,,,
4692,2012-05-09,6102,Rey,,,BBL,Spain,Andalucia,Cabo de Gata Natural Park-Balsablanca,ES-CDG-NAT,2007,1,36.94166667,-2.032777778,200,None,,,,Stipa tenacissima,Subtropical,Grassland,Natural,Deciduous,Mature,"Sandy loam, Mollic lithic leptosols (Calcaric)",Dry,1.25,,,,,18,220,1390,,263,IRGA,7,3.5,176.63,,14,1,,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4693,2012-05-09,6102,Rey,,,BBL,Spain,Andalucia,Cabo de Gata Natural Park-Amoladeras,ES-CDG-UNNAT,2007,1,36.83472222,-2.250277778,50,None,,,,Stipa tenacissima,Subtropical,Grassland,Unmanaged,Deciduous,Mature,"Sandy loam, Lithic leptosols (Calcaric)",Dry,1.11,,,,,18,220,1390,,259,IRGA,7,3.5,176.63,,14,1,,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4694,2012-05-10,6149,Wang,,,BBL,China,Jiangxi,Dagangshan Forest Station,CN-DFS-EB,2006,1,27.67,114.67,285,None,,,,Mix,Subtropical,Forest,Natural,Evergreen,Mature,"Ultisols, inceptisols",Dry,,,,,,16.8,1590,,,,IRGA,6,5,81.7,,15,0.83,,1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1510,,,235,,,
4695,2012-05-10,6149,Wang,,,BBL,China,Jiangxi,Dagangshan Forest Station,CN-DFS-CF,2006,1,27.67,114.67,280,None,,,,Cunninghamia lanceolata,Subtropical,Forest,Managed,Evergreen,Mature,"Ultisols, inceptisols",Dry,,,,,,16.8,1590,,,,IRGA,6,5,81.7,,15,0.83,,795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1235,,,205,,,
4696,2012-05-10,6149,Wang,,,BBL,China,Jiangxi,Dagangshan Forest Station,CN-DFS-MB,2006,1,27.67,114.67,315,None,,,,Phyllostachys pubescens,Subtropical,Forest,Managed,Evergreen,Mature,"Ultisols, inceptisols",Dry,,,,,,16.8,1590,,,,IRGA,6,5,81.7,,15,0.83,,1362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1745,,,165,,,
4697,2012-05-10,6149,Wang,,,BBL,China,Jiangxi,Dagangshan Forest Station,CN-DFS-MB200,2008,1,27.67,114.67,200,None,,,,Phyllostachys pubescens,Subtropical,Forest,Managed,Evergreen,Mature,"Ultisols, inceptisols",Dry,,,,,,16.8,1590,,,,IRGA,6,5,81.7,,15,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625,,,170,,,
4698,2012-05-10,6149,Wang,,,BBL,China,Jiangxi,Dagangshan Forest Station,CN-DFS-MB400,2008,1,27.67,114.67,400,None,,,,Phyllostachys pubescens,Subtropical,Forest,Managed,Evergreen,Mature,"Ultisols, inceptisols",Dry,,,,,,16.8,1590,,,,IRGA,6,5,81.7,,15,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,,,155,,,
4699,2012-05-10,6149,Wang,,,BBL,China,Jiangxi,Dagangshan Forest Station,CN-DFS-MB700,2008,1,27.67,114.67,700,None,,,,Phyllostachys pubescens,Subtropical,Forest,Managed,Evergreen,Mature,"Ultisols, inceptisols",Dry,,,,,,16.8,1590,,,,IRGA,6,5,81.7,,15,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1505,,,120,,,
4700,2012-05-10,6149,Wang,,Q01,BBL,China,Jiangxi,Dagangshan Forest Station,CN-DFS-CF10,2007,1,27.67,114.67,280,None,,,5,Cunninghamia lanceolata,Subtropical,Forest,Managed,Evergreen,Mature,"Ultisols, inceptisols",Dry,,,,,,16.8,1590,,,,IRGA,6,5,81.7,,15,0.83,,673,,,,,,,,,,,2.8,,,,,,,,,,55,,,,,,,,,,,395,,,60,,,
4701,2012-05-10,6149,Wang,,Q01,BBL,China,Jiangxi,Dagangshan Forest Station,CN-DFS-CF20,2007,1,27.67,114.67,280,None,,,15,Cunninghamia lanceolata,Subtropical,Forest,Managed,Evergreen,Mature,"Ultisols, inceptisols",Dry,,,,,,16.8,1590,,,,IRGA,6,5,81.7,,15,0.83,,1053,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,860,,,200,,,
4702,2012-05-10,6149,Wang,,Q01,BBL,China,Jiangxi,Dagangshan Forest Station,CN-DFS-CF25,2007,1,27.67,114.67,300,None,,,23,Cunninghamia lanceolata,Subtropical,Forest,Managed,Evergreen,Mature,"Ultisols, inceptisols",Dry,,,,,,16.8,1590,,,,IRGA,6,5,81.7,,15,0.83,,1220,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,1375,,,255,,,
4703,2012-05-10,6149,Wang,,Q01,BBL,China,Jiangxi,Dagangshan Forest Station,CN-DFS-CF35,2007,1,27.67,114.67,300,None,,,30,Cunninghamia lanceolata,Subtropical,Forest,Managed,Evergreen,Mature,"Ultisols, inceptisols",Dry,,,,,,16.8,1590,,,,IRGA,6,5,81.7,,15,0.83,,1203,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,1085,,,315,,,
4704,2012-05-10,6149,Wang,,Q01,BBL,China,Jiangxi,Dagangshan Forest Station,CN-DFS-CF36,2007,1,27.67,114.67,300,None,,,37,Cunninghamia lanceolata,Subtropical,Forest,Managed,Evergreen,Mature,"Ultisols, inceptisols",Dry,,,,,,16.8,1590,,,,IRGA,6,5,81.7,,15,0.83,,870,,,,,,,,,,,2.3,,,,,,,,,,50,,,,,,,,,,,1475,,,350,,,
4705,2012-05-10,6159,Zhang,,,BBL,China,Xinjiang,Pingyuan Forestry Farm,CN-PFF-2YR,2007,1,43.75,81.15,609,None,,,2,Populus euramericana,Temperate,Forest,Managed,Deciduous,Aggrading,Sandy loam,Dry,1.23,,,,,8.55,417.6,,,,IRGA,,2.5,,,,,,,,,,,,,,,,,5.54,,,,,,,,,,,,,,,,,,5.3,,,,125.5,149.95,,5577,40,
4706,2012-05-10,6159,Zhang,,,BBL,China,Xinjiang,Pingyuan Forestry Farm,CN-PFF-8YR,2007,1,43.75,81.15,609,None,,,8,Populus euramericana,Temperate,Forest,Managed,Deciduous,Aggrading,Sandy loam,Dry,1.21,,,,,8.55,417.6,,,,IRGA,,2.5,,,,,,,,,,,,,,,,,4.81,,,,,,,,,,,,,,,,,,20,,,,182.5,147.45,,5509,40,
4707,2012-05-10,6159,Zhang,,,BBL,China,Xinjiang,Pingyuan Forestry Farm,CN-PFF-15YR,2007,1,43.75,81.15,609,None,,,15,Populus euramericana,Temperate,Forest,Managed,Deciduous,Aggrading,Sandy loam,Dry,1.2,,,,,8.55,417.6,,,,IRGA,,2.5,,,,,,,,,,,,,,,,,3.93,,,,,,,,,,,,,,,,,,34.3,,,,317.5,149.2,,5814,40,
4708,2013-05-13,6216,Armas-Herrera,,"Q01,Q10",BBL,Spain,Canary Islands,L1,ES-CANARY-L1,2003,1,28.1,-15.4,,None,,,,"Euphorbia balsamifera, E. canariensis",Subtropical,Shrubland,Natural,Evergreen,Mature,Hypersalic Solonchaks,Dry,1.1,,73,18,9,,,,,,Alkali absorption,30,2,484,,90,1,,219,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Why is Figure 4c a stacked graph of rates?
4709,2013-05-13,6216,Armas-Herrera,,"Q01,Q10",BBL,Spain,Canary Islands,L2,ES-CANARY-L2,2003,1,28.1,-15.4,,None,,,,"Schizogyne sericea, Launaea arborescens",Subtropical,Shrubland,Unmanaged,Evergreen,Aggrading,Haplic Solonetzs,Dry,1.3,,70,21,9,,,,,,Alkali absorption,30,2,484,,90,1,,307,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Why is Figure 4c a stacked graph of rates?
4710,2013-05-13,6216,Armas-Herrera,,"Q01,Q10",BBL,Spain,Canary Islands,M1,ES-CANARY-M1,2003,1,28.1,-15.4,,None,,,,"Persea indica, Laurus novocanariensis",Subtropical,Forest,Natural,Evergreen,Mature,Aluandic eutrosilic fulvic Andosols,Dry,0.4,,30,52,18,,,,,,Alkali absorption,30,2,484,,90,1,,1621,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Why is Figure 4c a stacked graph of rates?
4711,2013-05-13,6216,Armas-Herrera,,"Q01,Q10",BBL,Spain,Canary Islands,M2,ES-CANARY-M2,2003,1,28.1,-15.4,,None,,,,"L. novocanariensis, Ilex canariensis",Subtropical,Forest,Natural,Evergreen,Mature,Silandic eutrosilic fulvic Andosols,Dry,0.5,,27,65,7,,,,,,Alkali absorption,30,2,484,,90,1,,1927,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Why is Figure 4c a stacked graph of rates?
4712,2013-05-13,6216,Armas-Herrera,,"Q01,Q10",BBL,Spain,Canary Islands,M3,ES-CANARY-M3,2003,1,28.1,-15.4,,None,,,,"Erica arborea, Myrica faya",Subtropical,Forest,Unmanaged,Evergreen,Aggrading,Aluandic eutrosilic fulvic Andosols,Dry,0.7,,45,45,10,,,,,,Alkali absorption,30,2,484,,90,1,,1533,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Why is Figure 4c a stacked graph of rates?
4713,2013-05-13,6216,Armas-Herrera,,"Q01,Q10",BBL,Spain,Canary Islands,M4,ES-CANARY-M4,2003,1,28.1,-15.4,,None,,,,"E. arborea, Adenocarpus foliolosus",Subtropical,Shrubland,Unmanaged,Evergreen,Aggrading,Leptic Luvisols,Dry,0.6,,34,53,13,,,,,,Alkali absorption,30,2,484,,90,1,,1139,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Why is Figure 4c a stacked graph of rates?
4714,2013-05-13,6216,Armas-Herrera,,"Q01,Q10",BBL,Spain,Canary Islands,M5,ES-CANARY-M5,2003,1,28.1,-15.4,,None,,,,"Pinus radiata, Ilex canariensis",Subtropical,Forest,Unmanaged,Evergreen,Aggrading,Silandic fulvic Andosols,Dry,0.4,,34,56,10,,,,,,Alkali absorption,30,2,484,,90,1,,1796,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Why is Figure 4c a stacked graph of rates?
4715,2013-05-13,6216,Armas-Herrera,,"Q01,Q10",BBL,Spain,Canary Islands,H1,ES-CANARY-H1,2003,1,28.1,-15.4,,None,,,,"P. canariensis, E. arborea",Subtropical,Forest,Natural,Evergreen,Mature,Luvic Phaeozems,Dry,0.8,,30,35,35,,,,,,Alkali absorption,30,2,484,,90,1,,1051,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Why is Figure 4c a stacked graph of rates?
4716,2013-05-13,6216,Armas-Herrera,,"Q01,Q10",BBL,Spain,Canary Islands,H2,ES-CANARY-H2,2003,1,28.1,-15.4,,None,,,,"P. canariensis, Lotus campylocladus",Subtropical,Forest,Natural,Evergreen,Mature,Leptic Cambisols,Dry,1.1,,46,41,13,,,,,,Alkali absorption,30,2,484,,90,1,,788,,558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Why is Figure 4c a stacked graph of rates?
4717,2013-05-13,6216,Armas-Herrera,,"Q01,Q10",BBL,Spain,Canary Islands,H3,ES-CANARY-H3,2003,1,28.1,-15.4,,None,,,,"Chamaecytisus proliferus, Adenocarpus viscosus",Subtropical,Shrubland,Natural,Evergreen,Aggrading,Silandic fulvic endoleptic Andosols,Dry,0.8,,58,35,7,,,,,,Alkali absorption,30,2,484,,90,1,,1007,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Why is Figure 4c a stacked graph of rates?
4718,2013-05-13,6216,Armas-Herrera,,"Q01,Q10",BBL,Spain,Canary Islands,L1,ES-CANARY-L1,2005,1,28.1,-15.4,,None,,,,"Euphorbia balsamifera, E. canariensis",Subtropical,Shrubland,Natural,Evergreen,Mature,Hypersalic Solonchaks,Dry,1.1,,73,18,9,,,,,,Alkali absorption,30,2,484,,90,1,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Why is Figure 4c a stacked graph of rates?
4719,2013-05-13,6216,Armas-Herrera,,"Q01,Q10",BBL,Spain,Canary Islands,L2,ES-CANARY-L2,2005,1,28.1,-15.4,,None,,,,"Schizogyne sericea, Launaea arborescens",Subtropical,Shrubland,Unmanaged,Evergreen,Aggrading,Haplic Solonetzs,Dry,1.3,,70,21,9,,,,,,Alkali absorption,30,2,484,,90,1,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Why is Figure 4c a stacked graph of rates?
4720,2013-05-13,6216,Armas-Herrera,,"Q01,Q10",BBL,Spain,Canary Islands,M1,ES-CANARY-M1,2005,1,28.1,-15.4,,None,,,,"Persea indica, Laurus novocanariensis",Subtropical,Forest,Natural,Evergreen,Mature,Aluandic eutrosilic fulvic Andosols,Dry,0.4,,30,52,18,,,,,,Alkali absorption,30,2,484,,90,1,,1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Why is Figure 4c a stacked graph of rates?
4721,2013-05-13,6216,Armas-Herrera,,"Q01,Q10",BBL,Spain,Canary Islands,M2,ES-CANARY-M2,2005,1,28.1,-15.4,,None,,,,"L. novocanariensis, Ilex canariensis",Subtropical,Forest,Natural,Evergreen,Mature,Silandic eutrosilic fulvic Andosols,Dry,0.5,,27,65,7,,,,,,Alkali absorption,30,2,484,,90,1,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Why is Figure 4c a stacked graph of rates?
4722,2013-05-13,6216,Armas-Herrera,,"Q01,Q10",BBL,Spain,Canary Islands,M3,ES-CANARY-M3,2005,1,28.1,-15.4,,None,,,,"Erica arborea, Myrica faya",Subtropical,Forest,Unmanaged,Evergreen,Aggrading,Aluandic eutrosilic fulvic Andosols,Dry,0.7,,45,45,10,,,,,,Alkali absorption,30,2,484,,90,1,,1621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Why is Figure 4c a stacked graph of rates?
4723,2013-05-13,6216,Armas-Herrera,,"Q01,Q10",BBL,Spain,Canary Islands,M4,ES-CANARY-M4,2005,1,28.1,-15.4,,None,,,,"E. arborea, Adenocarpus foliolosus",Subtropical,Shrubland,Unmanaged,Evergreen,Aggrading,Leptic Luvisols,Dry,0.6,,34,53,13,,,,,,Alkali absorption,30,2,484,,90,1,,1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Why is Figure 4c a stacked graph of rates?
4724,2013-05-13,6216,Armas-Herrera,,"Q01,Q10",BBL,Spain,Canary Islands,M5,ES-CANARY-M5,2005,1,28.1,-15.4,,None,,,,"Pinus radiata, Ilex canariensis",Subtropical,Forest,Unmanaged,Evergreen,Aggrading,Silandic fulvic Andosols,Dry,0.4,,34,56,10,,,,,,Alkali absorption,30,2,484,,90,1,,1708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Why is Figure 4c a stacked graph of rates?
4725,2013-05-13,6216,Armas-Herrera,,"Q01,Q10",BBL,Spain,Canary Islands,H1,ES-CANARY-H1,2005,1,28.1,-15.4,,None,,,,"P. canariensis, E. arborea",Subtropical,Forest,Natural,Evergreen,Mature,Luvic Phaeozems,Dry,0.8,,30,35,35,,,,,,Alkali absorption,30,2,484,,90,1,,1358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Why is Figure 4c a stacked graph of rates?
4726,2013-05-13,6216,Armas-Herrera,,"Q01,Q10",BBL,Spain,Canary Islands,H2,ES-CANARY-H2,2005,1,28.1,-15.4,,None,,,,"P. canariensis, Lotus campylocladus",Subtropical,Forest,Natural,Evergreen,Mature,Leptic Cambisols,Dry,1.1,,46,41,13,,,,,,Alkali absorption,30,2,484,,90,1,,1577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Why is Figure 4c a stacked graph of rates?
4727,2013-05-13,6216,Armas-Herrera,,"Q01,Q10",BBL,Spain,Canary Islands,H3,ES-CANARY-H3,2005,1,28.1,-15.4,,None,,,,"Chamaecytisus proliferus, Adenocarpus viscosus",Subtropical,Shrubland,Natural,Evergreen,Aggrading,Silandic fulvic endoleptic Andosols,Dry,0.8,,58,35,7,,,,,,Alkali absorption,30,2,484,,90,1,,1445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Why is Figure 4c a stacked graph of rates?
4728,2013-05-15,6219,Atrashi-Andoh,,,BBL,Japan,Iwate,Appi Forest,JP-APF,2007.5,2,40,140.56,,None,,,70,Fagus crenata,Temperate,Forest,Natural,Deciduous,Mature,Andosols,Dry,,,,,,6.1,1207,,,,IRGA,25,5,3025,,30,0.58,Isotope,747,,,283,211,536,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4729,2013-05-15,6220,Aubrey,,Q03,BBL,USA,Georgia,Joseph W. Jones Ecological Research Center,US-JJE-CK,2006.5,2,31.25,-84.5,,None,,,26,Pinus palustris,Temperate,Forest,Managed,Evergreen,Aggrading,Typic Quartzipsamment,Dry,,,,,,,,,,,IRGA,4.4,2.2,81,,30,1,,635,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,
4730,2013-05-15,6220,Aubrey,,Q03,BBL,USA,Georgia,Joseph W. Jones Ecological Research Center,US-JJE-FOLIAR,2006.5,2,31.25,-84.5,,Burned,Foliar scorching,,26,Pinus palustris,Temperate,Forest,Managed,Evergreen,Aggrading,Typic Quartzipsamment,Dry,,,,,,,,,,,IRGA,4.4,2.2,81,,30,1,,709,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,
4731,2013-05-22,6226,Beesley,,,BBL,United Kingdom,,Byrom Street,GB-BYS-CK,2008,1,53.41252778,-2.980722222,,None,Control,,,Grasses,Temperate,Urban,Managed,Evergreen,Aggrading,,Dry,1.29,,68,15,1,,,,,,IRGA,,,176.63,,7,0.5,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,
4732,2013-05-22,6226,Beesley,,,BBL,United Kingdom,,Byrom Street,GB-BYS-COMP,2008,1,53.41252778,-2.980722222,,Fertilized,Compost,,,Grasses,Temperate,Urban,Managed,Evergreen,Aggrading,,Dry,1.29,,68,15,1,,,,,,IRGA,,,176.63,,7,0.5,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000,,
4733,2013-05-24,6237,Brummell,,,BBL,Canada,Ellesmere Island,Alexandra Fjord,CA-ALF-B1,2009,1,78.9,-76,,None,,,,None,Arctic,Shrubland,Natural,Evergreen,Mature,Sandy turbic cryosols,Dry,,,,,,,,,,,Gradient,,7,314,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
4734,2013-05-24,6237,Brummell,,,BBL,Canada,Ellesmere Island,Alexandra Fjord,CA-ALF-B3B,2009,1,78.9,-76,,None,,,,Grasses,Arctic,Shrubland,Natural,Evergreen,Mature,Sandy turbic cryosols,Dry,,,,,,,,,,,Gradient,,7,314,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4735,2013-05-24,6237,Brummell,,,BBL,Canada,Ellesmere Island,Alexandra Fjord,CA-ALF-G3,2009,1,78.9,-76,,None,,,,Grasses; Salix arctica,Arctic,Shrubland,Natural,Evergreen,Mature,Sandy turbic cryosols,Dry,,,,,,,,,,,Gradient,,7,314,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
4736,2013-05-24,6237,Brummell,,,BBL,Canada,Ellesmere Island,Alexandra Fjord,CA-ALF-P1,2009,1,78.9,-76,,None,,,,Grasses; Dryas integrifolia,Arctic,Shrubland,Natural,Evergreen,Mature,Sandy turbic cryosols,Dry,,,,,,,,,,,Gradient,,7,314,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
4737,2013-05-24,6237,Brummell,,,BBL,Canada,Ellesmere Island,Alexandra Fjord,CA-ALF-P2,2009,1,78.9,-76,,None,,,,Grasses; Cassiope spp.,Arctic,Shrubland,Natural,Evergreen,Mature,Sandy turbic cryosols,Dry,,,,,,,,,,,Gradient,,7,314,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4738,2013-05-24,6237,Brummell,,,BBL,Canada,Ellesmere Island,Alexandra Fjord,CA-ALF-W1,2009,1,78.9,-76,,None,,,,Grasses,Arctic,Wetland,Natural,Evergreen,Mature,Sandy organic,Wet,,,,,,,,,,,Gradient,,7,314,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
4739,2013-05-26,6243,Butler,,,BBL,Brazil,Mato Grosso,Parque Municipal do Bacaba-Cerrado,BR-PMC-I,2008.5,1,-14.683,-52.333,318,None,,,,Qualea parviflora; Davilla elliptica; Roupala montana,Tropical,Savanna,Natural,Deciduous,Mature,Dystrophic Ferrasols,Dry,,,,,,24.9,1500,,,,IRGA,,2,176.7,,30,1,Exclusion,1741,147,,,1097,644,0.63,,,,,,,,,,,,,,,,,,85.05,,,,1.46,11.4,,22700,,,560,,,,
4740,2013-05-26,6243,Butler,,,BBL,Brazil,Mato Grosso,Parque Municipal do Bacaba-Cerradão,BR-PMC-II,2008.5,1,-14.683,-52.333,318,None,,,,Hertella glandulosa; Sclerolobium paniculatum; Xylopia aromatica,Tropical,Savanna,Natural,Deciduous,Mature,Dystrophic Ferrasols,Dry,,,,,,24.9,1500,,,,IRGA,,2,176.7,,30,1,Exclusion,1722,148,,,1085,637,0.63,,,,,,,,,,,,,,,,,,168.85,,,,2.38,15.7,,54800,,,550,,,,
4741,2013-05-27,6245,Campoe,,,BBL,Brazil,São Paulo,,BR-SAP-PLOT1,2008.5,1,-22.96777778,-48.82777778,726,Fertilized,,6,6,Eucalyptus grandis,Tropical,Forest,Managed,Deciduous,Aggrading,Oxisols,Dry,,,57,8,35,19.2,1391,,19.2,1646,IRGA,,4,314,,14,1,,1135,,,,,,,,,,,,,,,,3658,,,,1536,,,760,536,,,,,31.9,,97800,,,,,,,
4742,2013-05-27,6245,Campoe,,,BBL,Brazil,São Paulo,,BR-SAP-PLOT2,2008.5,1,-22.96777778,-48.82777778,727,Fertilized,,6,6,Eucalyptus grandis,Tropical,Forest,Managed,Deciduous,Aggrading,Oxisols,Dry,,,57,8,35,19.2,1391,,19.2,1646,IRGA,,4,314,,14,1,,1111,,,,,,,,,,,,,,,,2971,,,,1208,,,691,500,,,,,28.1,,82100,,,,,,,
4743,2013-05-27,6245,Campoe,,,BBL,Brazil,São Paulo,,BR-SAP-PLOT3,2008.5,1,-22.96777778,-48.82777778,730,Fertilized,,6,6,Eucalyptus grandis,Tropical,Forest,Managed,Deciduous,Aggrading,Oxisols,Dry,,,57,8,35,19.2,1391,,19.2,1646,IRGA,,4,314,,14,1,,1205,,,,,,,,,,,,,,,,4132,,,,1791,,,754,673,,,,,30.8,,92700,,,,,,,
4744,2013-05-27,6245,Campoe,,,BBL,Brazil,São Paulo,,BR-SAP-PLOT4,2008.5,1,-22.96777778,-48.82777778,731,Fertilized,,6,6,Eucalyptus grandis,Tropical,Forest,Managed,Deciduous,Aggrading,Oxisols,Dry,,,57,8,35,19.2,1391,,19.2,1646,IRGA,,4,314,,14,1,,1053,,,,,,,,,,,,,,,,3595,,,,1642,,,497,693,,,,,28.3,,85200,,,,,,,
4745,2013-05-27,6245,Campoe,,,BBL,Brazil,São Paulo,,BR-SAP-PLOT5,2008.5,1,-22.96777778,-48.82777778,740,Fertilized,,6,6,Eucalyptus grandis,Tropical,Forest,Managed,Deciduous,Aggrading,Oxisols,Dry,,,57,8,35,19.2,1391,,19.2,1646,IRGA,,4,314,,14,1,,1154,,,,,,,,,,,,,,,,3778,,,,1586,,,785,555,,,,,28.6,,84500,,,,,,,
4746,2013-05-27,6245,Campoe,,,BBL,Brazil,São Paulo,,BR-SAP-PLOT6,2008.5,1,-22.96777778,-48.82777778,746,Fertilized,,6,6,Eucalyptus grandis,Tropical,Forest,Managed,Deciduous,Aggrading,Oxisols,Dry,,,57,8,35,19.2,1391,,19.2,1646,IRGA,,4,314,,14,1,,1558,,,,,,,,,,,,,,,,3615,,,,1340,,,1087,484,,,,,28.4,,81400,,,,,,,
4747,2013-05-27,6245,Campoe,,,BBL,Brazil,São Paulo,,BR-SAP-PLOT7,2008.5,1,-22.96777778,-48.82777778,747,Fertilized,,6,6,Eucalyptus grandis,Tropical,Forest,Managed,Deciduous,Aggrading,Oxisols,Dry,,,57,8,35,19.2,1391,,19.2,1646,IRGA,,4,314,,14,1,,1615,,,,,,,,,,,,,,,,4118,,,,1528,,,1235,461,,,,,23,,66200,,,,,,,
4748,2013-05-27,6245,Campoe,,,BBL,Brazil,São Paulo,,BR-SAP-PLOT8,2008.5,1,-22.96777778,-48.82777778,755,Fertilized,,6,6,Eucalyptus grandis,Tropical,Forest,Managed,Deciduous,Aggrading,Oxisols,Dry,,,57,8,35,19.2,1391,,19.2,1646,IRGA,,4,314,,14,1,,1275,,,,,,,,,,,,,,,,3341,,,,1329,,,833,449,,,,,23.8,,70900,,,,,,,
